system:index,date,location,rainfall_mm,.geo
20200304,2020-03-04,Quang Tri,7.156987873926798,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200305,2020-03-05,Quang Tri,7.067635938283507,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200306,2020-03-06,Quang Tri,7.825143838112894,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200307,2020-03-07,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200308,2020-03-08,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200309,2020-03-09,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200310,2020-03-10,Quang Tri,3.2754595700148266,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200311,2020-03-11,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200312,2020-03-12,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200313,2020-03-13,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200314,2020-03-14,Quang Tri,0.21579544446383675,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200315,2020-03-15,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200316,2020-03-16,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200317,2020-03-17,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200318,2020-03-18,Quang Tri,0.002527966938290298,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200319,2020-03-19,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200320,2020-03-20,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200321,2020-03-21,Quang Tri,1.9139430299603926,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200322,2020-03-22,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200323,2020-03-23,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200324,2020-03-24,Quang Tri,0.06255662899195681,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200325,2020-03-25,Quang Tri,0.17168078776877543,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200326,2020-03-26,Quang Tri,0.6327802209331006,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200327,2020-03-27,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200328,2020-03-28,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200329,2020-03-29,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200330,2020-03-30,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200331,2020-03-31,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200401,2020-04-01,Quang Tri,12.279792254138334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200402,2020-04-02,Quang Tri,0.24123648288329438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200403,2020-04-03,Quang Tri,0.4913145009814983,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200404,2020-04-04,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200405,2020-04-05,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200406,2020-04-06,Quang Tri,0.013295476459476591,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200407,2020-04-07,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200408,2020-04-08,Quang Tri,0.003535894022190308,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200409,2020-04-09,Quang Tri,0.1451503618915924,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200410,2020-04-10,Quang Tri,0.15711497594056326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200411,2020-04-11,Quang Tri,7.406344567048384,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200412,2020-04-12,Quang Tri,2.4550217000963532,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200413,2020-04-13,Quang Tri,0.03480271330726255,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200414,2020-04-14,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200415,2020-04-15,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200416,2020-04-16,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200417,2020-04-17,Quang Tri,11.904027643980173,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200418,2020-04-18,Quang Tri,0.2732309478666539,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200419,2020-04-19,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200420,2020-04-20,Quang Tri,0.9678027162822431,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200421,2020-04-21,Quang Tri,16.99085989115987,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200422,2020-04-22,Quang Tri,34.2875337779625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200423,2020-04-23,Quang Tri,0.23557020591673283,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200424,2020-04-24,Quang Tri,1.839211733524725,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200425,2020-04-25,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
